Time,User,Component,Load Time
2025-03-17 21:17:23,plttest006@telarus.com,Oppurtunity,3.15
2025-03-17 21:17:33,plttest004@telarus.com,Oppurtunity,4.21
2025-03-17 21:17:34,plttest005@telarus.com,Oppurtunity,4.79
2025-03-17 21:17:34,plttest001@telarus.com,Oppurtunity,7.88
2025-03-17 21:17:34,plttest011@telarus.com,Oppurtunity,2.15
2025-03-17 21:17:35,plttest007@telarus.com,Oppurtunity,5.61
2025-03-17 21:17:35,plttest009@telarus.com,Oppurtunity,3.08
2025-03-17 21:17:35,plttest008@telarus.com,Oppurtunity,1.79
2025-03-17 21:17:38,plttest002@telarus.com,Oppurtunity,5.02
2025-03-17 21:17:39,plttest003@telarus.com,Oppurtunity,4.22
2025-03-17 21:17:42,plttest006@telarus.com,Order,0.54
2025-03-17 21:17:51,plttest013@telarus.com,Oppurtunity,6.16
2025-03-17 21:17:51,plttest009@telarus.com,Order,3.57
2025-03-17 21:17:51,plttest005@telarus.com,Order,4.87
2025-03-17 21:17:52,plttest004@telarus.com,Order,8.13
2025-03-17 21:17:52,plttest001@telarus.com,Order,4.19
2025-03-17 21:17:52,plttest011@telarus.com,Order,4.69
2025-03-17 21:17:52,plttest008@telarus.com,Order,3.97
2025-03-17 21:17:52,plttest017@telarus.com,Oppurtunity,3.79
2025-03-17 21:17:52,plttest016@telarus.com,Oppurtunity,10.05
2025-03-17 21:17:54,plttest002@telarus.com,Order,0.15
2025-03-17 21:17:55,plttest014@telarus.com,Oppurtunity,0.12
2025-03-17 21:17:55,plttest003@telarus.com,Order,0.32
2025-03-17 21:17:56,plttest010@telarus.com,Oppurtunity,0.34
2025-03-17 21:17:56,plttest012@telarus.com,Oppurtunity,0.40
2025-03-17 21:17:58,plttest007@telarus.com,Order,1.75
2025-03-17 21:18:08,plttest017@telarus.com,Order,6.76
2025-03-17 21:18:10,plttest013@telarus.com,Order,5.68
2025-03-17 21:18:12,plttest006@telarus.com,Customer,17.40
2025-03-17 21:18:14,plttest016@telarus.com,Order,1.80
2025-03-17 21:18:20,plttest017@telarus.com,Customer,5.75
2025-03-17 21:18:22,plttest010@telarus.com,Order,1.51
2025-03-17 21:18:23,plttest009@telarus.com,Customer,2.31
2025-03-17 21:18:23,plttest007@telarus.com,Customer,2.41
2025-03-17 21:18:23,plttest001@telarus.com,Customer,1.40
2025-03-17 21:18:26,plttest003@telarus.com,Customer,0.07
2025-03-17 21:18:26,plttest015@telarus.com,Oppurtunity,0.80
2025-03-17 21:18:27,plttest008@telarus.com,Customer,0.16
2025-03-17 21:18:28,plttest005@telarus.com,Customer,0.80
2025-03-17 21:18:32,plttest004@telarus.com,Customer,1.35
2025-03-17 21:18:34,plttest028@telarus.com,Oppurtunity,1.64
2025-03-17 21:18:35,plttest013@telarus.com,Customer,4.87
2025-03-17 21:18:37,plttest011@telarus.com,Customer,4.88
2025-03-17 21:18:37,plttest006@telarus.com,Quotes,4.55
2025-03-17 21:18:41,plttest016@telarus.com,Customer,6.75
2025-03-17 21:18:47,plttest002@telarus.com,Customer,6.40
2025-03-17 21:18:47,plttest012@telarus.com,Order,6.41
2025-03-17 21:18:47,plttest014@telarus.com,Order,6.42
2025-03-17 21:18:48,plttest017@telarus.com,Quotes,15.80
2025-03-17 21:18:49,plttest007@telarus.com,Quotes,8.73
